stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000491,491,Mount Street Bridge,,53.337814,-6.241333,,,,
8220DB000492,492,Mount Street Lower,,53.338585,-6.243614,,,,
8220DB000493,493,Holles Street,,53.3398534163774,-6.24737682273898,,,,
8220DB000494,494,Clare Street,,53.3414355833565,-6.25168225233917,,,,
8220DB000495,495,Pearse Station,,53.343591,-6.249747,,,,
8220DB000496,496,Busáras,,53.3494968761341,-6.25222357868164,,,,
8220DB000497,497,Connolly Station,,53.350526,-6.250694,,,,
8220DB000513,513,Summerhill,,53.355212,-6.253973,,,,
8220DB000515,515,Five Lamps,,53.35439,-6.2472,,,,
8220DB000516,516,Newcomen Bridge,,53.35621,-6.244942,,,,
8220DB000518,518,Nottingham Street,,53.3589041624283,-6.2409909439451,,,,
8220DB000519,519,North Strand Fire Station,,53.360339,-6.239535,,,,
8220DB000522,522,Fairview,,53.363207,-6.2356,,,,
8220DB000523,523,Marino Mart,,53.364355,-6.231308,,,,
8220DB000525,525,Howth Road,,53.3649608735109,-6.22633091116316,,,,
8220DB000526,526,Copeland Grove,,53.3668695721479,-6.22111227858031,,,,
8220DB000527,527,Ashbrook,,53.3680198762275,-6.21267888054445,,,,
8220DB000528,528,Castle Grove,,53.369264080697,-6.20993674463178,,,,
8220DB000529,529,Collins Avenue,,53.3705774149451,-6.20761234516729,,,,
8220DB000530,530,Killester Village,,53.371224,-6.204023,,,,
8220DB000531,531,The Demesne,,53.3732509125103,-6.20130788472614,,,,
8220DB000532,532,The Meadows,,53.375802080403,-6.19347468575652,,,,
8220DB000533,533,Ennafort Park,,53.3775832778026,-6.18705613952442,,,,
8220DB000534,534,Cill Eanna,,53.37875,-6.18164,,,,
8220DB000535,535,Raheny,,53.380257073034,-6.17730695711373,,,,
8220DB000536,536,Raheny Library,,53.3804237567076,-6.17351172677606,,,,
8220DB000537,537,Avondale Park,,53.3799012003047,-6.16815263497725,,,,
8220DB000538,538,Maywood,,53.3801380645862,-6.16426418318854,,,,
8220DB000539,539,Foxfield,,53.3806736618095,-6.15935564153758,,,,
8220DB000540,540,Lonsdale,,53.3813362763679,-6.1551179435333,,,,
8220DB000541,541,James Larkin Road,,53.3818727077496,-6.15202806844666,,,,
8220DB000542,542,Strand View,,53.3836619200447,-6.14626794992908,,,,
8220DB000591,591,Kilbarrack Road,,53.384168,-6.144683,,,,
8220DB000592,592,James Larkin Road,,53.382733,-6.148383,,,,
8220DB000593,593,Howth Road,,53.381849,-6.151638,,,,
8220DB000594,594,Lonsdale,,53.381163,-6.155561,,,,
8220DB000595,595,Foxfield,,53.3806,-6.159239,,,,
8220DB000596,596,Shieling Square,,53.380253,-6.161794,,,,
8220DB000597,597,Maywood,,53.379898,-6.165612,,,,
8220DB000598,598,Avondale Park,,53.379847,-6.169282,,,,
8220DB000599,599,Raheny Library,,53.3803,-6.173081,,,,
8220DB000600,600,Raheny,,53.380248,-6.17612,,,,
8220DB000601,601,Cill Eanna,,53.3792234833174,-6.17966599663793,,,,
8220DB000602,602,Wade's Avenue,,53.378143,-6.183049,,,,
8220DB000603,603,Ennafort Park,,53.377382,-6.187425,,,,
8220DB000604,604,All Saints Road,,53.376355,-6.190791,,,,
8220DB000605,605,The Meadows,,53.375667,-6.193435,,,,
8220DB000606,606,St Brigid's Church,,53.374709,-6.197865,,,,
8220DB000607,607,The Demesne,,53.372516,-6.20203,,,,
8220DB000608,608,Killester Village,,53.371078,-6.204465,,,,
8220DB000609,609,Castle Grove,,53.3698375440776,-6.20862025648968,,,,
8220DB000610,610,Ashbrook,,53.368362,-6.211538,,,,
8220DB000611,611,Hollybrook Park,,53.366754679119,-6.21883292211135,,,,
